endTime,artistName,trackName,msPlayed
2024-01-18 12:48,Lil Uzi Vert,Nakamura,2507
2024-01-18 12:52,YACHT,Avril 14th,1532
2024-01-18 12:52,Crystal Fighters,Love Natural,199526
2024-01-18 12:52,Gunna,pushin P (feat. Young Thug),3449
2024-01-18 12:54,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),134327
2024-01-18 12:57,Danny Ocean,Me Rehúso,205714
2024-01-18 13:01,AJR,Weak,201160
2024-01-18 13:05,Mustard Pimp,The Amazons (feat. Ze),238893
2024-01-18 13:09,Kygo,Firestone,271640
2024-01-18 13:15,Kenny G,The Moment,361466
2024-01-18 13:17,Lil Uzi Vert,XO Tour Llif3,78734
2024-01-18 13:17,Salim–Sulaiman,Tujh Mein Rab Dikhta Hai,1718
2024-01-18 13:17,Martin Jensen,Solo Dance,2089
2024-01-18 13:17,Zac Efron,Gotta Go My Own Way,1091
2024-01-18 13:17,ThxSoMch,SPIT IN MY FACE!,27028
2024-01-18 13:17,The Fray,How to Save a Life,766
2024-01-18 13:18,Frank Ocean,Lost,1114
2024-01-18 13:18,Red Hot Chili Peppers,Can't Stop,928
2024-01-18 13:18,R. City,Locked Away (feat. Adam Levine),1532
2024-01-18 13:18,ThxSoMch,SPIT IN MY FACE!,29535
2024-01-18 13:18,The Fray,How to Save a Life,26099
2024-01-18 13:18,Fleetwood Mac,Dreams - 2004 Remaster,812
2024-01-18 13:18,Michael Jackson,Don't Stop 'Til You Get Enough,1091
2024-01-18 13:19,ABBA,Dancing Queen,1787
2024-01-18 13:19,Glass Animals,Domestic Bliss,23777
2024-01-18 13:19,Tion Wayne,Wid It,2345
2024-01-18 13:19,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),1857
2024-01-18 13:19,Janji,Heroes Tonight,25867
2024-01-18 13:19,Kid Cudi,Mr. Rager,1300
2024-01-18 13:19,J. Cole,MIDDLE CHILD,1369
2024-01-18 13:19,Olly Alexander (Years & Years),Gold,5503
2024-01-18 13:19,Stormzy,Audacity (feat. Headie One),4829
2024-01-18 13:23,Imagine Dragons,Shots - Broiler Remix,191560
2024-01-18 15:02,Delta Heavy,Stay - Maduk Remix,58297
2024-01-18 15:06,Gorillaz,On Melancholy Hill,233866
2024-01-18 15:08,Phil Collins,One More Night - 2016 Remaster,134389
2024-01-18 15:11,Madcon,Beggin (original version),188847
2024-01-18 15:12,James Blunt,You're Beautiful,1393
2024-01-18 15:12,Post Malone,Circles,62531
2024-01-18 15:12,Olly Alexander (Years & Years),Gold,5387
2024-01-18 15:13,Colbie Caillat,Bubbly,20805
2024-01-18 15:14,Stormzy,Vossi Bop,50898
2024-01-18 15:15,KALEO,Way down We Go,94714
2024-01-18 15:19,Cartoon,On & On,207068
2024-01-18 15:23,Savoir Adore,Dreamers,249260
2024-01-18 15:23,J. Cole,No Role Modelz,28757
2024-01-18 15:27,Kanye West,Fade,193747
2024-01-18 15:46,Benzz,Je M'appelle,97557
2024-01-18 15:48,XXXTENTACION,Fuck Love,146520
2024-01-18 15:53,Young the Giant,Cough Syrup,249520
2024-01-18 15:53,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],20176
2024-01-18 15:57,Young the Giant,Mind Over Matter,4224
2024-01-18 16:00,ABBA,Angeleyes,198677
2024-01-18 16:00,Young the Giant,Mind Over Matter,1578
2024-01-18 16:05,ABBA,Angeleyes,260893
2024-01-18 16:27,Lil Uzi Vert,Futsal Shuffle 2020,175611
2024-01-18 16:55,Lil Uzi Vert,Silly Watch,195692
2024-01-18 17:02,Milky Chance,Down By The River,156527
2024-01-18 17:05,Young the Giant,Cough Syrup,193403
2024-01-18 17:07,Baby Keem,family ties (with Kendrick Lamar),125736
2024-01-18 17:07,Metro Boomin,On Time (with John Legend),5874
